timestamp,seed,task,planner,robot,plan_success,planning_time_s,failure_reason,beaker_xy,flask_xy,max_time_s,planner_seed
2026-09-13T11:56:35,0,stir,pddlstream,fr5_dh3_pb,1,0.4511932369787246,,0.5007;0.1977,0.5273;0.3632,180.0,0
2026-09-13T11:56:36,1,stir,pddlstream,fr5_dh3_pb,1,0.3886164859868586,,0.5228;0.1657,0.4366;0.3570,180.0,0
2026-09-13T11:56:36,2,stir,pddlstream,fr5_dh3_pb,1,0.6754376438912004,,0.4588;0.1303,0.4996;0.3379,180.0,0
2026-09-13T11:56:38,3,stir,pddlstream,fr5_dh3_pb,1,1.1192467301152647,,0.4879;0.1407,0.4452;0.3208,180.0,0
2026-09-13T11:56:39,4,stir,pddlstream,fr5_dh3_pb,1,0.8506618179380894,,0.5202;0.1422,0.4882;0.3719,180.0,0
2026-09-13T11:56:39,5,stir,pddlstream,fr5_dh3_pb,1,0.8148034380283207,,0.4808;0.1293,0.5337;0.3469,180.0,0
2026-09-13T11:56:42,6,stir,pddlstream,fr5_dh3_pb,0,2.124843074940145,no_plan_within_budget,0.5074;0.1577,0.4461;0.2868,180.0,0
2026-09-13T11:56:43,7,stir,pddlstream,fr5_dh3_pb,1,1.3176182338502258,,0.4405;0.2069,0.4806;0.3120,180.0,0
2026-09-13T11:56:44,8,stir,pddlstream,fr5_dh3_pb,1,0.8819173760712147,,0.4838;0.1620,0.4817;0.3058,180.0,0
2026-09-13T11:56:45,9,stir,pddlstream,fr5_dh3_pb,1,0.9318126430734992,,0.5260;0.2166,0.4776;0.3302,180.0,0
2026-09-13T11:56:46,10,stir,pddlstream,fr5_dh3_pb,1,0.42618658812716603,,0.5089;0.2089,0.5295;0.3642,180.0,0
2026-09-13T11:56:46,11,stir,pddlstream,fr5_dh3_pb,1,0.48099883599206805,,0.4470;0.1377,0.4960;0.3186,180.0,0
2026-09-13T11:56:48,12,stir,pddlstream,fr5_dh3_pb,1,1.1145089820493013,,0.5070;0.1363,0.5196;0.2819,180.0,0
2026-09-13T11:56:49,13,stir,pddlstream,fr5_dh3_pb,0,1.6146859100554138,no_plan_within_budget,0.5014;0.1250,0.5323;0.3103,180.0,0
2026-09-13T11:56:51,14,stir,pddlstream,fr5_dh3_pb,1,1.8559740670025349,,0.5162;0.1964,0.4911;0.3563,180.0,0
2026-09-13T11:56:52,15,stir,pddlstream,fr5_dh3_pb,1,0.6604796110186726,,0.5119;0.1593,0.5314;0.3598,180.0,0
2026-09-13T11:56:53,16,stir,pddlstream,fr5_dh3_pb,1,0.3927083029411733,,0.5275;0.2102,0.5030;0.3775,180.0,0
2026-09-13T11:56:54,17,stir,pddlstream,fr5_dh3_pb,1,0.9392656630370766,,0.4828;0.1859,0.4354;0.3071,180.0,0
2026-09-13T11:56:54,18,stir,pddlstream,fr5_dh3_pb,1,0.4868279688525945,,0.5044;0.1824,0.4461;0.3130,180.0,0
